,Unnamed: 0,Name,Min Price,Max Price,Zip Code
234,234,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
235,235,ZEN Hollywood,3750,3995.0,90028
236,236,&Pico,3516,4863.0,90064
237,237,One Museum Square,4040,5750.0,90036
238,238,The Gemma,2585,2750.0,90010
239,239,Ferrante,2139,4902.0,90012
240,240,sageLA - Brand New,2395,4670.0,90004
241,241,Arya,4050,4200.0,90034
242,242,The Amara,3145,3330.0,90025
243,243,888 at Grand Hope Park,2435,4350.0,90017
245,245,TENTEN WILSHIRE,2750,4095.0,90017
246,246,VOX,3190,4670.0,90016
247,247,The BORA 3170,2250,3152.0,90006
248,248,Beaudry,2925,7994.0,90017
249,249,Hallasan,3523,4358.0,90005
251,251,951 S. Oxford,1598,1698.0,90006
252,252,Park Wilshire,1885,2370.0,90057
253,253,Violet on Virgil,2175,2518.0,90004
254,254,Broadway Palace,2057,4044.0,90015
255,255,Linea,3000,4010.0,90064
256,256,The Landmark Los Angeles,5080,7990.0,90025
257,257,Circa LA,2510,4236.0,90015
258,258,Arrive Wakaba,2474,3324.0,90012
260,260,Archer,2455,2594.0,90028
261,261,Lumina Hollywood,2850,3546.0,90028
262,262,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
263,263,Park Fifth,2658,4365.0,90013
264,264,TENTEN Downtown,2400,3874.0,90017
265,265,Josephine DTLA,2433,3520.0,90017
266,266,Nari Koreatown,2160,3520.0,90010
267,267,The Chadwick,1672,3468.0,90004
268,268,Palazzo East Apartments,3110,4182.0,90036
269,269,Madrid,2180,2326.0,90045
270,270,THEA at Metropolis,2738,4355.0,90017
271,271,AVA Toluca Hills,2435,2710.0,90068
272,272,Vision on Wilshire,4503,5073.0,90048
273,273,The Q Playa,2681,4811.0,90045
274,274,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
275,275,ZEN Hollywood,3750,3995.0,90028
276,276,&Pico,3516,4863.0,90064
277,277,One Museum Square,4040,5750.0,90036
278,278,The Gemma,2585,2750.0,90010
279,279,Ferrante,2139,4902.0,90012
280,280,sageLA - Brand New,2395,4670.0,90004
281,281,Arya,4050,4200.0,90034
282,282,The Amara,3145,3330.0,90025
283,283,888 at Grand Hope Park,2435,4350.0,90017
285,285,TENTEN WILSHIRE,2750,4095.0,90017
286,286,VOX,3190,4670.0,90016
287,287,The BORA 3170,2250,3152.0,90006
288,288,Beaudry,2925,7994.0,90017
289,289,Hallasan,3523,4358.0,90005
291,291,951 S. Oxford,1598,1698.0,90006
292,292,Park Wilshire,1885,2370.0,90057
293,293,Violet on Virgil,2175,2518.0,90004
294,294,Broadway Palace,2057,4044.0,90015
295,295,Linea,3000,4010.0,90064
296,296,The Landmark Los Angeles,5080,7990.0,90025
297,297,Circa LA,2510,4236.0,90015
298,298,Arrive Wakaba,2474,3324.0,90012
300,300,Archer,2455,2594.0,90028
301,301,Lumina Hollywood,2850,3546.0,90028
302,302,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
303,303,Park Fifth,2658,4365.0,90013
304,304,TENTEN Downtown,2400,3874.0,90017
305,305,Josephine DTLA,2433,3520.0,90017
306,306,Nari Koreatown,2160,3520.0,90010
307,307,The Chadwick,1672,3468.0,90004
308,308,Palazzo East Apartments,3110,4182.0,90036
309,309,Madrid,2180,2326.0,90045
310,310,THEA at Metropolis,2738,4355.0,90017
311,311,AVA Toluca Hills,2435,2710.0,90068
312,312,Vision on Wilshire,4503,5073.0,90048
